0.000100 0.000000 0.000000,0.004200 0.000000 0.000000,0.008300 0.000000 0.000000,0.012400 0.000000 0.000000,0.016500 0.000000 0.000000,0.020600 0.000000 0.000000,0.024700 0.000000 0.000000,0.028800 0.000000 0.000000,0.032900 0.000000 0.000000,0.037000 0.000000 0.000000,0.041100 0.000000 0.000000,0.045200 0.000000 0.000000,0.049300 0.000000 0.000000,0.053400 0.000000 0.000000,0.057500 0.000000 0.000000,0.061600 0.000000 0.000000,0.065700 0.000000 0.000000,0.069800 0.000000 0.000000,0.073900 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004198 0.000099 0.000000,0.008288 0.000383 0.000000,0.012361 0.000851 0.000000,0.016409 0.001502 0.000000,0.020423 0.002335 0.000000,0.024395 0.003348 0.000000,0.028318 0.004539 0.000000,0.032183 0.005906 0.000000,0.035983 0.007446 0.000000,0.039709 0.009155 0.000000,0.043355 0.011031 0.000000,0.046912 0.013069 0.000000,0.050373 0.015265 0.000000,0.053732 0.017616 0.000000,0.056982 0.020115 0.000000,0.060116 0.022758 0.000000,0.063127 0.025540 0.000000,0.066010 0.028455 0.000000,0.070113 0.033102 0.000000,
0.000100 0.000000 0.000000,0.004194 0.000199 0.000000,0.008253 0.000765 0.000000,0.012245 0.001694 0.000000,0.016137 0.002980 0.000000,0.019897 0.004610 0.000000,0.023495 0.006573 0.000000,0.026902 0.008852 0.000000,0.030089 0.011429 0.000000,0.033032 0.014282 0.000000,0.035705 0.017389 0.000000,0.038088 0.020723 0.000000,0.040160 0.024259 0.000000,0.041906 0.027968 0.000000,0.043311 0.031818 0.000000,0.044363 0.035779 0.000000,0.045054 0.039819 0.000000,0.045378 0.043905 0.000000,0.045333 0.048003 0.000000,0.044565 0.054151 0.000000,
0.000100 0.000000 0.000000,0.004186 0.000298 0.000000,0.008195 0.001143 0.000000,0.012053 0.002522 0.000000,0.015689 0.004408 0.000000,0.019038 0.006768 0.000000,0.022039 0.009558 0.000000,0.024635 0.012727 0.000000,0.026780 0.016217 0.000000,0.028435 0.019965 0.000000,0.029569 0.023902 0.000000,0.030162 0.027955 0.000000,0.030203 0.032052 0.000000,0.029690 0.036117 0.000000,0.028634 0.040075 0.000000,0.027054 0.043855 0.000000,0.024978 0.047387 0.000000,0.022445 0.050607 0.000000,0.019501 0.053456 0.000000,0.014389 0.056945 0.000000,
0.000100 0.000000 0.000000,0.004175 0.000396 0.000000,0.008113 0.001517 0.000000,0.011787 0.003326 0.000000,0.015076 0.005764 0.000000,0.017874 0.008753 0.000000,0.020090 0.012196 0.000000,0.021653 0.015981 0.000000,0.022511 0.019984 0.000000,0.022637 0.024077 0.000000,0.022027 0.028125 0.000000,0.020700 0.031999 0.000000,0.018700 0.035571 0.000000,0.016091 0.038727 0.000000,0.012958 0.041364 0.000000,0.009404 0.043395 0.000000,0.005542 0.044756 0.000000,0.001499 0.045402 0.000000,-0.002595 0.045312 0.000000,-0.008586 0.043791 0.000000,
0.000100 0.000001 0.000000,0.004161 0.000494 0.000000,0.008010 0.001884 0.000000,0.011450 0.004099 0.000000,0.014307 0.007026 0.000000,0.016438 0.010519 0.000000,0.017734 0.014400 0.000000,0.018130 0.018472 0.000000,0.017604 0.022529 0.000000,0.016185 0.026367 0.000000,0.013944 0.029790 0.000000,0.010995 0.032625 0.000000,0.007486 0.034729 0.000000,0.003595 0.035995 0.000000,-0.000480 0.036359 0.000000,-0.004533 0.035802 0.000000,-0.008360 0.034354 0.000000,-0.011765 0.032086 0.000000,-0.014578 0.029115 0.000000,-0.017397 0.023627 0.000000,
0.000100 0.000001 0.000000,0.004144 0.000592 0.000000,0.007884 0.002243 0.000000,0.011046 0.004834 0.000000,0.013400 0.008175 0.000000,0.014775 0.012024 0.000000,0.015072 0.016101 0.000000,0.014268 0.020109 0.000000,0.012422 0.023755 0.000000,0.009668 0.026776 0.000000,0.006207 0.028951 0.000000,0.002290 0.030121 0.000000,-0.001796 0.030202 0.000000,-0.005756 0.029188 0.000000,-0.009300 0.027152 0.000000,-0.012171 0.024242 0.000000,-0.014160 0.020671 0.000000,-0.015122 0.016699 0.000000,-0.014987 0.012613 0.000000,-0.012744 0.006880 0.000000,
0.000100 0.000001 0.000000,0.004125 0.000689 0.000000,0.007737 0.002593 0.000000,0.010579 0.005524 0.000000,0.012371 0.009193 0.000000,0.012935 0.013237 0.000000,0.012215 0.017256 0.000000,0.010284 0.020853 0.000000,0.007331 0.023673 0.000000,0.003648 0.025436 0.000000,-0.000400 0.025969 0.000000,-0.004414 0.025219 0.000000,-0.007996 0.023260 0.000000,-0.010793 0.020285 0.000000,-0.012528 0.016589 0.000000,-0.013029 0.012537 0.000000,-0.012248 0.008529 0.000000,-0.010261 0.004962 0.000000,-0.007265 0.002189 0.000000,-0.001497 0.000081 0.000000,
0.000100 0.000001 0.000000,0.004102 0.000785 0.000000,0.007569 0.002932 0.000000,0.010055 0.006165 0.000000,0.011239 0.010066 0.000000,0.010970 0.014135 0.000000,0.009282 0.017847 0.000000,0.006393 0.020724 0.000000,0.002673 0.022396 0.000000,-0.001397 0.022647 0.000000,-0.005294 0.021445 0.000000,-0.008515 0.018945 0.000000,-0.010646 0.015468 0.000000,-0.011413 0.011463 0.000000,-0.010717 0.007446 0.000000,-0.008647 0.003932 0.000000,-0.005470 0.001376 0.000000,-0.001595 0.000105 0.000000,0.002479 0.000285 0.000000,0.007861 0.003206 0.000000,
0.000100 0.000001 0.000000,0.004076 0.000881 0.000000,0.007381 0.003259 0.000000,0.009479 0.006749 0.000000,0.010028 0.010784 0.000000,0.008939 0.014708 0.000000,0.006390 0.017883 0.000000,0.002794 0.019793 0.000000,-0.001264 0.020129 0.000000,-0.005125 0.018835 0.000000,-0.008161 0.016121 0.000000,-0.009879 0.012430 0.000000,-0.010000 0.008360 0.000000,-0.008504 0.004572 0.000000,-0.005634 0.001684 0.000000,-0.001857 0.000163 0.000000,0.002214 0.000257 0.000000,0.005917 0.001951 0.000000,0.008650 0.004969 0.000000,0.010018 0.010917 0.000000,
