0.000100 0.000000 0.000000,0.004200 0.000000 0.000000,0.008300 0.000000 0.000000,0.012400 0.000000 0.000000,0.016500 0.000000 0.000000,0.020600 0.000000 0.000000,0.024700 0.000000 0.000000,0.028800 0.000000 0.000000,0.032900 0.000000 0.000000,0.037000 0.000000 0.000000,0.041100 0.000000 0.000000,0.045200 0.000000 0.000000,0.049300 0.000000 0.000000,0.053400 0.000000 0.000000,0.057500 0.000000 0.000000,0.061600 0.000000 0.000000,0.065700 0.000000 0.000000,0.069800 0.000000 0.000000,0.073900 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004195 0.000180 0.000000,0.008261 0.000696 0.000000,0.012272 0.001542 0.000000,0.016199 0.002714 0.000000,0.020018 0.004204 0.000000,0.023702 0.006002 0.000000,0.027226 0.008095 0.000000,0.030566 0.010470 0.000000,0.033701 0.013110 0.000000,0.036609 0.015999 0.000000,0.039271 0.019116 0.000000,0.041669 0.022440 0.000000,0.043786 0.025950 0.000000,0.045609 0.029621 0.000000,0.047124 0.033430 0.000000,0.048323 0.037349 0.000000,0.049197 0.041354 0.000000,0.049739 0.045417 0.000000,0.049924 0.051610 0.000000,
0.000100 0.000000 0.000000,0.004180 0.000360 0.000000,0.008146 0.001381 0.000000,0.011892 0.003036 0.000000,0.015317 0.005281 0.000000,0.018331 0.008054 0.000000,0.020851 0.011283 0.000000,0.022810 0.014879 0.000000,0.024155 0.018747 0.000000,0.024852 0.022783 0.000000,0.024879 0.026878 0.000000,0.024238 0.030923 0.000000,0.022945 0.034809 0.000000,0.021035 0.038432 0.000000,0.018559 0.041694 0.000000,0.015584 0.044508 0.000000,0.012189 0.046799 0.000000,0.008466 0.048505 0.000000,0.004514 0.049580 0.000000,-0.001659 0.049948 0.000000,
0.000100 0.000001 0.000000,0.004154 0.000539 0.000000,0.007955 0.002048 0.000000,0.011274 0.004438 0.000000,0.013911 0.007564 0.000000,0.015708 0.011238 0.000000,0.016555 0.015238 0.000000,0.016403 0.019325 0.000000,0.015260 0.023252 0.000000,0.013196 0.026782 0.000000,0.010334 0.029703 0.000000,0.006846 0.031840 0.000000,0.002944 0.033062 0.000000,-0.001139 0.033298 0.000000,-0.005157 0.032532 0.000000,-0.008866 0.030810 0.000000,-0.012045 0.028238 0.000000,-0.014502 0.024968 0.000000,-0.016089 0.021199 0.000000,-0.016639 0.015059 0.000000,
0.000100 0.000001 0.000000,0.004119 0.000715 0.000000,0.007693 0.002687 0.000000,0.010441 0.005704 0.000000,0.012071 0.009446 0.000000,0.012409 0.013514 0.000000,0.011418 0.017473 0.000000,0.009204 0.020903 0.000000,0.006004 0.023436 0.000000,0.002158 0.024803 0.000000,-0.001923 0.024859 0.000000,-0.005805 0.023597 0.000000,-0.009073 0.021151 0.000000,-0.011379 0.017783 0.000000,-0.012477 0.013852 0.000000,-0.012250 0.009777 0.000000,-0.010722 0.005992 0.000000,-0.008057 0.002901 0.000000,-0.004537 0.000833 0.000000,0.001556 0.000103 0.000000,
0.000100 0.000001 0.000000,0.004073 0.000889 0.000000,0.007363 0.003288 0.000000,0.009424 0.006799 0.000000,0.009915 0.010841 0.000000,0.008754 0.014743 0.000000,0.006133 0.017859 0.000000,0.002488 0.019673 0.000000,-0.001578 0.019883 0.000000,-0.005391 0.018454 0.000000,-0.008318 0.015625 0.000000,-0.009875 0.011863 0.000000,-0.009803 0.007792 0.000000,-0.008115 0.004087 0.000000,-0.005090 0.001363 0.000000,-0.001229 0.000070 0.000000,0.002827 0.000423 0.000000,0.006406 0.002363 0.000000,0.008915 0.005570 0.000000,0.009821 0.011603 0.000000,
0.000100 0.000001 0.000000,0.004018 0.001060 0.000000,0.006971 0.003845 0.000000,0.008259 0.007694 0.000000,0.007575 0.011695 0.000000,0.005083 0.014898 0.000000,0.001373 0.016544 0.000000,-0.002675 0.016243 0.000000,-0.006100 0.014065 0.000000,-0.008089 0.010527 0.000000,-0.008172 0.006469 0.000000,-0.006328 0.002853 0.000000,-0.002995 0.000538 0.000000,0.001037 0.000071 0.000000,0.004811 0.001565 0.000000,0.007432 0.004664 0.000000,0.008278 0.008633 0.000000,0.007148 0.012532 0.000000,0.004311 0.015434 0.000000,-0.001650 0.016512 0.000000,
0.000100 0.000001 0.000000,0.003954 0.001227 0.000000,0.006524 0.004349 0.000000,0.006987 0.008367 0.000000,0.005195 0.011992 0.000000,0.001721 0.014063 0.000000,-0.002320 0.013915 0.000000,-0.005634 0.011597 0.000000,-0.007158 0.007851 0.000000,-0.006403 0.003878 0.000000,-0.003613 0.000952 0.000000,0.000320 0.000009 0.000000,0.004134 0.001354 0.000000,0.006607 0.004553 0.000000,0.006946 0.008583 0.000000,0.005043 0.012151 0.000000,0.001507 0.014114 0.000000,-0.002528 0.013842 0.000000,-0.005768 0.011423 0.000000,-0.007012 0.005546 0.000000,
0.000100 0.000002 0.000000,0.003880 0.001390 0.000000,0.006029 0.004796 0.000000,0.005654 0.008805 0.000000,0.002911 0.011754 0.000000,-0.001061 0.012418 0.000000,-0.004613 0.010521 0.000000,-0.006271 0.006851 0.000000,-0.005347 0.002932 0.000000,-0.002224 0.000390 0.000000,0.001802 0.000280 0.000000,0.005059 0.002649 0.000000,0.006195 0.006512 0.000000,0.004738 0.010267 0.000000,0.001294 0.012354 0.000000,-0.002708 0.011907 0.000000,-0.005606 0.009111 0.000000,-0.006199 0.005128 0.000000,-0.004238 0.001611 0.000000,0.001542 0.000206 0.000000,
0.000100 0.000002 0.000000,0.003797 0.001548 0.000000,0.005493 0.005179 0.000000,0.004304 0.009006 0.000000,0.000849 0.011038 0.000000,-0.003073 0.010216 0.000000,-0.005423 0.006970 0.000000,-0.004976 0.002987 0.000000,-0.001966 0.000341 0.000000,0.002041 0.000408 0.000000,0.004960 0.003154 0.000000,0.005272 0.007149 0.000000,0.002815 0.010315 0.000000,-0.001133 0.011004 0.000000,-0.004517 0.008858 0.000000,-0.005577 0.004993 0.000000,-0.003761 0.001421 0.000000,-0.000013 -0.000000 0.000000,0.003715 0.001470 0.000000,0.005274 0.007143 0.000000,
