0.399280 0.000000 0.023986,0.798560 0.000000 0.047971,1.197841 0.000000 0.071957,1.597121 0.000000 0.095942,1.996401 0.000000 0.119928,2.395681 0.000000 0.143914,2.794962 0.000000 0.167899,3.194242 0.000000 0.191885,3.593522 0.000000 0.215870,3.992802 0.000000 0.239856,4.392082 0.000000 0.263842,4.791363 0.000000 0.287827,5.190643 0.000000 0.311813,5.589923 0.000000 0.335798,5.989203 0.000000 0.359784,6.388483 0.000000 0.383770,6.787764 0.000000 0.407755,7.187044 0.000000 0.431741,7.586324 0.000000 0.455726,7.985604 0.000000 0.479712,8.384885 0.000000 0.503698,8.784165 0.000000 0.527683,9.183445 0.000000 0.551669,9.582725 0.000000 0.575654,9.982005 0.000000 0.599640,
0.398876 0.017962 0.023986,0.797752 0.035923 0.047971,1.196628 0.053885 0.071957,1.595504 0.071846 0.095942,1.994380 0.089808 0.119928,2.393256 0.107769 0.143914,2.792132 0.125731 0.167899,3.191008 0.143692 0.191885,3.589884 0.161654 0.215870,3.988760 0.179615 0.239856,4.387636 0.197577 0.263842,4.786512 0.215539 0.287827,5.185388 0.233500 0.311813,5.584264 0.251462 0.335798,5.983140 0.269423 0.359784,6.382016 0.287385 0.383770,6.780892 0.305346 0.407755,7.179768 0.323308 0.431741,7.578644 0.341269 0.455726,7.977520 0.359231 0.479712,8.376396 0.377192 0.503698,8.775272 0.395154 0.527683,9.174148 0.413116 0.551669,9.573024 0.431077 0.575654,9.971900 0.449039 0.599640,
0.397664 0.035887 0.023986,0.795328 0.071773 0.047971,1.192993 0.107660 0.071957,1.590657 0.143547 0.095942,1.988321 0.179434 0.119928,2.385985 0.215320 0.143914,2.783650 0.251207 0.167899,3.181314 0.287094 0.191885,3.578978 0.322981 0.215870,3.976642 0.358867 0.239856,4.374306 0.394754 0.263842,4.771971 0.430641 0.287827,5.169635 0.466527 0.311813,5.567299 0.502414 0.335798,5.964963 0.538301 0.359784,6.362628 0.574188 0.383770,6.760292 0.610074 0.407755,7.157956 0.645961 0.431741,7.555620 0.681848 0.455726,7.953284 0.717735 0.479712,8.350949 0.753621 0.503698,8.748613 0.789508 0.527683,9.146277 0.825395 0.551669,9.543941 0.861281 0.575654,9.941606 0.897168 0.599640,
0.395647 0.053739 0.023986,0.791295 0.107478 0.047971,1.186942 0.161218 0.071957,1.582589 0.214957 0.095942,1.978236 0.268696 0.119928,2.373884 0.322435 0.143914,2.769531 0.376175 0.167899,3.165178 0.429914 0.191885,3.560826 0.483653 0.215870,3.956473 0.537392 0.239856,4.352120 0.591132 0.263842,4.747768 0.644871 0.287827,5.143415 0.698610 0.311813,5.539062 0.752349 0.335798,5.934709 0.806089 0.359784,6.330357 0.859828 0.383770,6.726004 0.913567 0.407755,7.121651 0.967306 0.431741,7.517299 1.021046 0.455726,7.912946 1.074785 0.479712,8.308593 1.128524 0.503698,8.704241 1.182263 0.527683,9.099888 1.236003 0.551669,9.495535 1.289742 0.575654,9.891182 1.343481 0.599640,
0.392829 0.071483 0.023986,0.785659 0.142966 0.047971,1.178488 0.214449 0.071957,1.571317 0.285932 0.095942,1.964147 0.357415 0.119928,2.356976 0.428898 0.143914,2.749805 0.500381 0.167899,3.142635 0.571864 0.191885,3.535464 0.643347 0.215870,3.928293 0.714830 0.239856,4.321123 0.786313 0.263842,4.713952 0.857796 0.287827,5.106781 0.929279 0.311813,5.499611 1.000762 0.335798,5.892440 1.072245 0.359784,6.285269 1.143727 0.383770,6.678098 1.215210 0.407755,7.070928 1.286693 0.431741,7.463757 1.358176 0.455726,7.856586 1.429659 0.479712,8.249416 1.501142 0.503698,8.642245 1.572625 0.527683,9.035074 1.644108 0.551669,9.427904 1.715591 0.575654,9.820733 1.787074 0.599640,
0.389216 0.089082 0.023986,0.778432 0.178164 0.047971,1.167648 0.267246 0.071957,1.556864 0.356328 0.095942,1.946080 0.445410 0.119928,2.335296 0.534492 0.143914,2.724512 0.623574 0.167899,3.113728 0.712656 0.191885,3.502944 0.801738 0.215870,3.892160 0.890820 0.239856,4.281376 0.979902 0.263842,4.670592 1.068983 0.287827,5.059808 1.158065 0.311813,5.449024 1.247147 0.335798,5.838240 1.336229 0.359784,6.227456 1.425311 0.383770,6.616672 1.514393 0.407755,7.005888 1.603475 0.431741,7.395104 1.692557 0.455726,7.784320 1.781639 0.479712,8.173536 1.870721 0.503698,8.562752 1.959803 0.527683,8.951968 2.048885 0.551669,9.341184 2.137967 0.575654,9.730400 2.227049 0.599640,
0.384815 0.106501 0.023986,0.769629 0.213001 0.047971,1.154444 0.319502 0.071957,1.539259 0.426002 0.095942,1.924073 0.532503 0.119928,2.308888 0.639004 0.143914,2.693703 0.745504 0.167899,3.078517 0.852005 0.191885,3.463332 0.958505 0.215870,3.848147 1.065006 0.239856,4.232961 1.171506 0.263842,4.617776 1.278007 0.287827,5.002590 1.384508 0.311813,5.387405 1.491008 0.335798,5.772220 1.597509 0.359784,6.157034 1.704009 0.383770,6.541849 1.810510 0.407755,6.926664 1.917011 0.431741,7.311478 2.023511 0.455726,7.696293 2.130012 0.479712,8.081108 2.236512 0.503698,8.465922 2.343013 0.527683,8.850737 2.449513 0.551669,9.235552 2.556014 0.575654,9.620366 2.662515 0.599640,
0.379634 0.123704 0.023986,0.759268 0.247407 0.047971,1.138903 0.371111 0.071957,1.518537 0.494814 0.095942,1.898171 0.618518 0.119928,2.277805 0.742222 0.143914,2.657439 0.865925 0.167899,3.037073 0.989629 0.191885,3.416708 1.113332 0.215870,3.796342 1.237036 0.239856,4.175976 1.360739 0.263842,4.555610 1.484443 0.287827,4.935244 1.608147 0.311813,5.314879 1.731850 0.335798,5.694513 1.855554 0.359784,6.074147 1.979257 0.383770,6.453781 2.102961 0.407755,6.833415 2.226665 0.431741,7.213049 2.350368 0.455726,7.592684 2.474072 0.479712,7.972318 2.597775 0.503698,8.351952 2.721479 0.527683,8.731586 2.845183 0.551669,9.111220 2.968886 0.575654,9.490855 3.092590 0.599640,
0.373685 0.140656 0.023986,0.747370 0.281312 0.047971,1.121055 0.421968 0.071957,1.494740 0.562625 0.095942,1.868425 0.703281 0.119928,2.242111 0.843937 0.143914,2.615796 0.984593 0.167899,2.989481 1.125249 0.191885,3.363166 1.265905 0.215870,3.736851 1.406561 0.239856,4.110536 1.547217 0.263842,4.484221 1.687874 0.287827,4.857906 1.828530 0.311813,5.231591 1.969186 0.335798,5.605276 2.109842 0.359784,5.978961 2.250498 0.383770,6.352646 2.391154 0.407755,6.726332 2.531810 0.431741,7.100017 2.672467 0.455726,7.473702 2.813123 0.479712,7.847387 2.953779 0.503698,8.221072 3.094435 0.527683,8.594757 3.235091 0.551669,8.968442 3.375747 0.575654,9.342127 3.516403 0.599640,
0.366979 0.157324 0.023986,0.733959 0.314648 0.047971,1.100938 0.471972 0.071957,1.467918 0.629296 0.095942,1.834897 0.786619 0.119928,2.201876 0.943943 0.143914,2.568856 1.101267 0.167899,2.935835 1.258591 0.191885,3.302815 1.415915 0.215870,3.669794 1.573239 0.239856,4.036773 1.730563 0.263842,4.403753 1.887887 0.287827,4.770732 2.045211 0.311813,5.137712 2.202535 0.335798,5.504691 2.359858 0.359784,5.871670 2.517182 0.383770,6.238650 2.674506 0.407755,6.605629 2.831830 0.431741,6.972609 2.989154 0.455726,7.339588 3.146478 0.479712,7.706567 3.303802 0.503698,8.073547 3.461126 0.527683,8.440526 3.618450 0.551669,8.807506 3.775773 0.575654,9.174485 3.933097 0.599640,
